epoch,train_loss,val_loss,val_acc,val_f1,time_s
1,3.420386682507158,2.976205619114919,0.19672131147540983,0.15511728002129094,22.7533278465271
2,2.5253835443302246,2.8971858072878653,0.2391513982642237,0.1967477375377038,24.29260802268982
3,1.9335698170040165,2.9747851563971435,0.2391513982642237,0.21906506638648301,30.590845584869385
4,1.3579262043947655,3.124375426091017,0.25650916104146576,0.23656202926136993,29.189801454544067
5,0.8647214342640462,3.1300598446175587,0.2729026036644166,0.2528918573946874,28.76132369041443
6,0.5624482622920073,3.4689349183236162,0.25554484088717455,0.24682598551835816,29.518491506576538
7,0.394538655966901,3.385233589400436,0.2651880424300868,0.2507439054334008,32.45901942253113
8,0.2748016281662633,3.5003511165354038,0.2729026036644166,0.26481739993542996,32.199777364730835
9,0.16759090074920516,3.57217292017739,0.2854387656702025,0.26998621901789277,34.598978996276855
10,0.13353417022569003,3.6114024699826364,0.29315332690453233,0.28075784415777416,33.591516971588135
11,0.09733391074954414,3.750125495769019,0.2854387656702025,0.2715419103699492,33.308149337768555
12,0.11826922709674943,3.7457775087917553,0.26229508196721313,0.2472809610158252,32.01674556732178
13,0.09510580766887715,3.839718623469398,0.2844744455159113,0.2752036237638514,30.21341848373413
14,0.09019861349314774,3.8995536210566843,0.2738669238187078,0.26806655424375975,30.97587251663208
15,0.0969683199341569,3.9634651422730522,0.25650916104146576,0.24947593301048326,30.157860279083252
